,poster,user_count
0,NPR,36
1,The Daily Show,20
2,Robert Reich,15
3,Occupy Democrats,14
4,News And Guts,7
5,Washington Post,6
6,HuffPost,6
7,The Other 98%,6
8,Mother Jones,5
9,Jim Wright,5
